Price,Age_08_04,Mfg_Month,Mfg_Year,KM,HP,Met_Color,Automatic,cc,Doors,Gears,Quarterly_Tax,Weight,Mfr_Guarantee,BOVAG_Guarantee,Guarantee_Period,ABS,Airbag_1,Airbag_2,Airco,Automatic_airco,Boardcomputer,CD_Player,Central_Lock,Powered_Windows,Power_Steering,Radio,Mistlamps,Sport_Model,Backseat_Divider,Metallic_Rim,Radio_cassette,Tow_Bar,Petrol,Diesel,CNG
19950,22,11,2002,43610,192,0,0,1800,3,6,100,1185,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0
19600,25,8,2002,32189,192,0,0,1800,3,6,100,1185,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0
21500,31,2,2002,23000,192,1,0,1800,3,6,100,1185,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0
22500,32,1,2002,34131,192,1,0,1800,3,6,100,1185,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0
22000,28,5,2002,18739,192,0,0,1800,3,6,100,1185,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0
22750,30,3,2002,34000,192,1,0,1800,3,5,100,1185,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0
17950,24,9,2002,21716,110,1,0,1600,3,5,85,1105,0,0,18,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0
16750,24,9,2002,25563,110,0,0,1600,3,5,19,1065,0,0,3,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0
16950,30,3,2002,64359,110,1,0,1600,3,5,85,1105,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0
15950,30,3,2002,67660,110,1,0,1600,3,5,85,1105,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0
16950,29,4,2002,43905,110,0,1,1600,3,5,100,1170,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0
15950,28,5,2002,56349,110,1,0,1600,3,5,85,1120,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0
16950,28,5,2002,32220,110,1,0,1600,3,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0
16250,29,4,2002,25813,110,1,0,1600,3,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0
15950,25,8,2002,28450,110,1,0,1600,3,5,85,1120,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0
17495,27,6,2002,34545,110,1,0,1600,3,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0
15750,29,4,2002,41415,110,1,0,1600,3,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0
16950,28,5,2002,44142,110,0,0,1600,3,5,85,1120,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0
17950,30,3,2002,11090,110,1,0,1600,3,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0
12950,29,4,2002,9750,97,1,0,1400,3,5,19,1100,1,1,12,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
15750,22,11,2002,35199,97,1,0,1400,3,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0
15950,27,6,2002,29510,97,1,0,1400,3,5,85,1100,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0
14950,26,7,2002,32692,97,1,0,1400,3,5,85,1100,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0
15500,22,11,2002,41000,97,1,0,1400,3,5,85,1100,0,0,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0
15750,26,7,2002,43000,97,0,0,1400,3,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0
15950,25,8,2002,25000,97,0,0,1400,3,5,85,1100,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0
14950,23,10,2002,10000,97,1,0,1400,3,5,85,1100,1,1,3,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0
15750,32,1,2002,25329,97,1,0,1400,3,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0
14750,27,6,2002,27500,97,0,0,1400,3,5,85,1100,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
13950,22,11,2002,49059,97,0,0,1400,3,5,85,1100,0,1,3,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
16750,27,6,2002,44068,97,1,0,1400,3,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0
13950,22,11,2002,46961,97,0,0,1400,3,5,85,1100,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
16950,27,6,2002,110404,90,0,0,2000,5,5,234,1255,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0
16950,22,11,2002,100250,90,0,0,2000,5,5,234,1255,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0
19000,23,10,2002,84000,90,0,0,2000,5,5,234,1270,0,1,3,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0
17950,27,6,2002,79375,90,1,0,2000,5,5,234,1255,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0
15800,22,11,2002,75048,97,1,0,1400,5,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0
17950,22,11,2002,72215,90,1,0,2000,5,5,234,1255,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0
21950,31,2,2002,64982,192,1,0,1800,5,6,100,1195,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0
17950,22,11,2002,62636,90,1,0,2000,5,5,234,1255,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0
15750,30,3,2002,57086,97,1,0,1400,5,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0
20500,26,7,2002,56000,110,1,1,1600,5,5,100,1180,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0
21950,27,6,2002,49866,192,1,0,1800,5,5,100,1195,0,1,13,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0
15500,25,8,2002,49163,110,0,1,1600,5,5,100,1165,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0
13250,32,1,2002,45725,110,1,0,1600,5,5,85,1075,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0
15250,28,5,2002,43210,97,0,0,1400,5,5,85,1110,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0
15250,26,7,2002,43000,97,0,0,1400,5,5,85,1110,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0
18950,23,10,2002,39704,110,1,1,1600,5,5,100,1180,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0
15999,30,3,2002,38950,110,1,0,1600,5,5,85,1130,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0
14950,22,11,2002,37400,97,1,0,1400,5,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0
16500,27,6,2002,37177,110,0,0,1600,5,5,85,1130,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0
18750,31,2,2002,36544,110,1,0,1600,5,5,85,1130,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0
17950,30,3,2002,33511,110,1,0,1600,5,5,85,1130,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0
17950,27,6,2002,32809,97,1,0,1400,5,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0
16950,26,7,2002,32181,110,1,0,1600,5,5,19,1075,0,1,12,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0
18950,28,5,2002,30993,110,1,0,1600,5,5,85,1130,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0
14950,22,11,2002,30400,97,1,0,1400,5,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0
22250,22,11,2002,30000,110,1,0,2000,5,5,234,1275,1,1,3,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0
15950,25,8,2002,29719,97,1,0,1400,5,5,85,1110,1,1,3,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0
15950,28,5,2002,29206,97,1,0,1400,5,5,85,1110,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0
12995,32,1,2002,29198,97,1,0,1400,5,5,85,1060,1,1,3,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0
18950,28,5,2002,28817,110,1,0,1598,5,5,85,1130,1,1,3,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0
15750,23,10,2002,28227,97,1,0,1400,5,5,85,1110,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0
19950,28,5,2002,28000,110,0,0,1600,5,5,85,1130,1,0,3,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0
16950,23,10,2002,28000,110,1,0,1600,5,5,85,1115,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0
18750,31,2,2002,25266,110,1,0,1600,5,5,85,1130,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0
18450,27,6,2002,23489,110,0,0,1600,5,5,85,1115,0,1,3,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0
16895,29,4,2002,22575,110,1,0,1600,5,5,85,1115,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
14900,30,3,2002,22000,97,1,0,1400,5,5,85,1110,1,1,3,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0
18950,25,8,2002,20019,110,1,1,16000,5,5,100,1180,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0
17250,29,4,2002,20000,110,1,0,1600,5,5,85,1115,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0
15450,25,8,2002,17003,97,1,0,1400,5,5,85,1110,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0
17950,31,2,2002,16238,110,1,1,1600,5,5,100,1180,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0
16650,25,8,2002,15414,97,1,0,1400,5,5,85,1110,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0
17450,28,5,2002,8537,110,1,0,1600,5,5,85,1130,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0
14900,30,3,2002,7000,97,1,0,1400,5,5,85,1100,0,0,12,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0
17950,20,1,2003,66966,90,1,0,2000,3,5,210,1245,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0
15950,19,2,2003,51884,97,1,0,1400,3,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0
21950,19,2,2003,50005,110,1,0,2000,3,5,234,1265,1,1,3,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0
16450,20,1,2003,48110,97,1,0,1400,3,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0
22250,20,1,2003,37500,90,1,0,2000,3,5,234,1260,0,1,3,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0
19950,16,5,2003,34472,90,1,0,1995,3,5,234,1260,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
15950,20,1,2003,33329,97,1,0,1400,3,5,85,1100,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0
18900,20,1,2003,31850,110,0,0,1600,3,5,85,1120,0,1,20,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0
19950,17,4,2003,30351,90,1,0,1995,3,5,234,1260,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0
15950,19,2,2003,29435,97,1,0,1400,3,5,85,1100,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0
15950,19,2,2003,25948,97,1,0,1400,3,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0
18750,11,10,2003,24500,110,1,0,1600,3,5,85,1120,0,0,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0
17450,18,3,2003,23902,97,1,0,1400,3,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0
18990,20,1,2003,23175,110,1,0,1600,3,5,85,1120,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0
16250,19,2,2003,19200,97,1,0,1400,3,5,85,1100,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0
18500,13,8,2003,18000,71,0,0,1400,3,5,85,1125,0,1,12,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0
18500,11,10,2003,16123,110,1,0,1600,3,5,85,1105,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0
19450,11,10,2003,14635,110,1,1,1600,3,5,100,1155,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0
16950,19,2,2003,13748,97,1,0,1400,3,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0
18800,14,7,2003,11500,110,1,0,1600,3,5,69,1045,0,0,12,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0
17450,17,4,2003,10000,97,1,0,1400,3,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0
17950,20,1,2003,7187,110,1,0,1600,3,5,85,1105,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0
32500,4,5,2004,1,116,0,0,2000,5,5,283,1480,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0
31000,4,5,2004,4000,116,1,0,2000,5,5,283,1480,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0
31275,4,5,2004,1500,116,1,0,2000,5,5,283,1480,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0
24950,8,1,2004,13253,116,1,0,2000,5,5,234,1320,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0
24950,8,1,2004,13253,116,1,0,2000,5,5,234,1320,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0
22950,7,2,2004,10000,116,1,0,2000,5,5,234,1270,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0
24990,8,1,2004,6000,90,1,0,2000,5,5,234,1280,1,1,3,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0
21950,8,1,2004,10841,90,1,0,2000,5,5,234,1270,0,1,3,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0
17900,7,2,2004,1,110,1,0,1600,3,5,85,1105,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0
19250,20,1,2003,63000,90,1,0,2000,5,5,234,1255,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0
22250,17,4,2003,57313,110,1,0,2000,5,5,234,1275,1,1,3,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0
18950,13,8,2003,57037,110,0,0,1600,5,5,85,1115,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0
19950,19,2,2003,51099,90,1,0,2000,5,5,234,1255,0,0,3,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0
16350,14,7,2003,40010,110,1,0,1600,5,5,85,1115,1,1,3,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0
18950,20,1,2003,39115,110,1,0,1600,5,5,85,1130,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0
16950,17,4,2003,36012,110,0,0,1600,5,5,85,1130,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0
21750,16,5,2003,36000,110,1,0,1600,5,5,85,1130,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0
15950,20,1,2003,36000,110,1,0,1600,5,5,19,1075,0,1,3,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0
16500,20,1,2003,35000,97,1,0,1400,5,5,85,1110,0,0,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0
17950,17,4,2003,33740,97,1,0,1400,5,5,85,1135,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0
15850,13,8,2003,33477,110,1,0,1600,5,5,19,1075,0,0,3,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
16250,20,1,2003,32627,97,1,0,1400,5,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0
15950,20,1,2003,29797,97,1,0,1400,5,5,85,1110,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0
16250,19,2,2003,29441,97,1,0,1400,5,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0
15950,13,8,2003,29371,110,1,0,1600,4,5,19,1105,0,0,24,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
16500,20,1,2003,29000,97,0,0,1400,5,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0
16500,19,2,2003,27821,97,0,0,1400,5,5,85,1110,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0
18450,19,2,2003,27371,97,0,0,1400,5,5,85,1135,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0
16250,13,8,2003,25170,110,1,0,1600,5,5,19,1105,0,0,24,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
23000,11,10,2003,25000,116,1,0,2000,5,5,64,1320,0,0,3,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0
19900,20,1,2003,23000,110,1,0,1600,5,5,85,1130,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0
16450,20,1,2003,22588,97,1,0,1400,5,5,85,1110,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0
23950,19,2,2003,21684,192,1,0,1800,5,5,19,1185,0,1,12,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0
19950,13,8,2003,21428,110,1,0,1600,5,5,85,1130,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0
18500,16,5,2003,20629,110,1,0,1600,4,5,85,1090,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0
18950,15,6,2003,20270,110,1,0,1600,5,5,85,1130,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0
16450,16,5,2003,20105,97,0,0,1400,5,5,85,1110,1,1,3,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0
20500,20,1,2003,20000,110,0,1,1600,5,5,100,1165,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0
24500,13,8,2003,19988,110,1,0,1600,5,5,85,1130,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0
19450,19,2,2003,18328,110,0,0,1600,5,5,85,1130,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0
20950,14,7,2003,17896,110,1,1,1600,4,5,85,1150,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0
17200,20,1,2003,17300,97,1,0,1400,5,5,85,1110,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0
19950,19,2,2003,17038,110,0,0,1600,5,5,85,1130,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0
18450,10,11,2003,13747,97,1,0,1400,5,5,85,1110,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0
19500,12,9,2003,13634,110,1,0,1600,5,5,85,1115,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0
21750,13,8,2003,13178,110,1,0,1600,5,5,85,1130,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0
16868,15,6,2003,13157,97,1,0,1400,4,5,85,1085,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0
19500,16,5,2003,13000,110,1,0,1600,4,5,85,1105,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0
18900,11,10,2003,12500,110,1,0,1600,5,5,85,1115,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0
19750,17,4,2003,11999,110,1,0,1600,5,5,85,1130,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0
19750,16,5,2003,11754,110,0,1,1600,5,5,100,1180,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0
18950,16,5,2003,11000,110,1,0,1600,4,5,85,1105,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0
20750,17,4,2003,10000,110,0,0,1598,5,5,85,1105,0,1,12,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0
19600,9,12,2003,7650,110,1,0,1600,5,5,85,1115,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0
19500,14,7,2003,6500,110,1,0,1600,4,5,85,1100,0,1,28,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0
17650,11,10,2003,6155,97,1,0,1400,5,5,85,1110,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0
19950,14,7,2003,6000,110,0,0,1600,5,5,85,1130,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0
19950,14,7,2003,5459,110,1,0,1600,5,5,85,1130,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0
20950,14,7,2003,5278,110,1,1,1600,4,5,85,1150,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0
20500,12,9,2003,5000,110,1,0,1600,5,5,85,1130,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0
17795,9,12,2003,1,98,1,0,1400,4,5,19,1065,0,0,36,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
18245,9,12,2003,1,110,1,0,1600,5,5,19,1075,0,0,36,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
23750,8,1,2004,11000,110,1,0,1600,5,5,85,1130,0,1,24,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0
19500,8,1,2004,10077,97,1,0,1400,5,5,85,1110,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0
18950,8,1,2004,10000,97,1,0,1400,5,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0
21950,8,1,2004,9788,110,1,0,1600,5,5,85,1130,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0
